doc_id,lang,text,en_translation
1,en,"Machine learning algorithms are increasingly used for predictive analytics in modern systems.","Machine learning algorithms are increasingly used for predictive analytics in modern systems."
2,en,"Deep neural networks enable breakthroughs in computer vision and speech recognition.","Deep neural networks enable breakthroughs in computer vision and speech recognition."
3,ur,"مشین لرننگ کے الگورتھم جدید نظاموں میں پیش گوئی کے تجزیے کے لئے وسیع پیمانے پر استعمال ہوتے ہیں۔","Machine learning algorithms are widely used for predictive analysis in modern systems."
4,ur,"ڈیپ نیورل نیٹ ورکس کمپیوٹر وژن اور اسپیچ ریکگنیشن میں بڑی پیش رفت کو ممکن بناتے ہیں۔","Deep neural networks make major advances in computer vision and speech recognition possible."
5,hi,"मशीन लर्निंग एल्गोरिदम आधुनिक प्रणालियों में भविष्यवाणी विश्लेषण के लिए उपयोग किए जाते हैं।","Machine learning algorithms are used for predictive analysis in modern systems."
6,hi,"डीप न्यूरल नेटवर्क कंप्यूटर विज़न और भाषण पहचान में क्रांतिकारी बदलाव ला रहे हैं।","Deep neural networks are bringing revolutionary changes in computer vision and speech recognition."
7,ar,"تستخدم خوارزميات التعلم الآلي بشكل متزايد في التحليلات التنبؤية.","Machine learning algorithms are increasingly used in predictive analytics."
8,ar,"تُمكّن الشبكات العصبية العميقة من تحقيق تقدم كبير في رؤية الحاسوب والتعرف على الكلام.","Deep neural networks enable major progress in computer vision and speech recognition."
9,fr,"Les algorithmes d'apprentissage automatique sont largement utilisés pour l'analyse prédictive.","Machine learning algorithms are widely used for predictive analysis."
10,fr,"Les réseaux neuronaux profonds permettent des avancées majeures en vision par ordinateur.","Deep neural networks enable major advances in computer vision."

11,en,"Seismic interpretation relies on understanding wave reflections to map subsurface geology.","Seismic interpretation relies on understanding wave reflections to map subsurface geology."
12,en,"AI models help automate fault detection in seismic volumes.","AI models help automate fault detection in seismic volumes."
13,ur,"سیسمک انٹرپریٹیشن زیر زمین ساختوں کو سمجھنے کے لئے لہروں کے انعکاس پر انحصار کرتی ہے۔","Seismic interpretation relies on wave reflections to understand subsurface structures."
14,ur,"AI ماڈلز سیسمک والیمز میں فالٹ کی خودکار شناخت میں مدد دیتے ہیں۔","AI models help automatically detect faults in seismic volumes."
15,hi,"भूकंपीय व्याख्या भूमिगत संरचनाओं को समझने के लिए तरंग प्रतिबिंबों पर आधारित होती है।","Seismic interpretation is based on wave reflections to understand underground structures."
16,hi,"एआई मॉडल भूकंपीय डेटा में फॉल्ट डिटेक्शन को स्वचालित करते हैं।","AI models automate fault detection in seismic data."
17,ar,"تعتمد التفسيرات الزلزالية على فهم انعكاسات الموجات لرسم الخرائط الجيولوجية.","Seismic interpretation depends on understanding wave reflections to map geology."
18,ar,"تساعد نماذج الذكاء الاصطناعي في أتمتة اكتشاف الصدوع في البيانات الزلزالية.","AI models help automate fault detection in seismic data."
19,fr,"L'interprétation sismique repose sur l'analyse des réflexions d'ondes.","Seismic interpretation is based on analyzing wave reflections."
20,fr,"Les modèles d'IA automatisent la détection des failles dans les volumes sismiques.","AI models automate fault detection in seismic volumes."

21,en,"AI in healthcare accelerates disease diagnosis and enables personalized treatment.","AI in healthcare accelerates disease diagnosis and enables personalized treatment."
22,en,"Neural networks enhance detection of anomalies in MRI and CT scans.","Neural networks enhance detection of anomalies in MRI and CT scans."
23,ur,"صحت کے شعبے میں AI بیماری کی تشخیص کو تیز کرتی ہے اور ذاتی علاج کو ممکن بناتی ہے۔","In healthcare, AI speeds up disease diagnosis and makes personalized treatment possible."
24,ur,"نیورل نیٹ ورکس MRI اور CT اسکین میں بے ضابطگیوں کی شناخت کو بہتر بناتے ہیں۔","Neural networks improve the detection of abnormalities in MRI and CT scans."
25,hi,"स्वास्थ्य सेवा में एआई रोग निदान को तेज बनाता है और व्यक्तिगत उपचार की अनुमति देता है।","In healthcare, AI makes disease diagnosis faster and allows personalized treatment."
26,hi,"न्यूरल नेटवर्क MRI और CT स्कैन में असामान्यताओं की पहचान में सुधार करते हैं।","Neural networks improve the detection of abnormalities in MRI and CT scans."
27,ar,"يُسرّع الذكاء الاصطناعي تشخيص الأمراض ويوفر علاجات مخصصة.","AI speeds up disease diagnosis and provides personalized treatments."
28,ar,"تعزز الشبكات العصبية اكتشاف الشذوذ في صور الرنين المغناطيسي.","Neural networks enhance the detection of anomalies in MRI images."
29,fr,"L'IA accélère le diagnostic médical et permet des traitements personnalisés.","AI accelerates medical diagnosis and enables personalized treatments."
30,fr,"Les réseaux neuronaux améliorent la détection des anomalies dans les images médicales.","Neural networks improve the detection of anomalies in medical images."

31,en,"Climate change is increasing the frequency of extreme weather events globally.","Climate change is increasing the frequency of extreme weather events globally."
32,en,"Reducing greenhouse gas emissions is essential for sustainable development.","Reducing greenhouse gas emissions is essential for sustainable development."
33,ur,"موسمیاتی تبدیلی دنیا بھر میں شدید موسمی واقعات میں اضافہ کر رہی ہے۔","Climate change is increasing extreme weather events around the world."
34,ur,"گرین ہاؤس گیسوں کے اخراج میں کمی پائیدار ترقی کے لیے ضروری ہے۔","Reducing greenhouse gas emissions is necessary for sustainable development."
35,hi,"जलवायु परिवर्तन अत्यधिक मौसम की घटनाओं में वृद्धि कर रहा है।","Climate change is increasing extreme weather events."
36,hi,"ग्रीनहाउस गैस उत्सर्जन को कम करना भविष्य की स्थिरता के लिए आवश्यक है।","Reducing greenhouse gas emissions is necessary for future sustainability."
37,ar,"يزيد تغير المناخ من تواتر الظواهر الجوية المتطرفة.","Climate change increases the frequency of extreme weather phenomena."
38,ar,"يعد تقليل انبعاثات الغازات ضروريًا للتنمية المستدامة.","Reducing gas emissions is essential for sustainable development."
39,fr,"Le changement climatique augmente la fréquence des phénomènes météorologiques extrêmes.","Climate change increases the frequency of extreme weather events."
40,fr,"La réduction des émissions est essentielle pour un avenir durable.","Reducing emissions is essential for a sustainable future."

41,en,"Financial markets depend heavily on accurate forecasting models.","Financial markets depend heavily on accurate forecasting models."
42,en,"Digital currencies are reshaping global payment systems.","Digital currencies are reshaping global payment systems."
43,ur,"مالیاتی منڈیاں درست پیش گوئی کے ماڈلز پر بہت زیادہ انحصار کرتی ہیں۔","Financial markets rely heavily on accurate forecasting models."
44,ur,"ڈیجیٹل کرنسیاں عالمی ادائیگی کے نظام کو بدل رہی ہیں۔","Digital currencies are changing global payment systems."
45,hi,"वित्तीय बाज़ार सटीक पूर्वानुमान मॉडलों पर निर्भर करते हैं।","Financial markets depend on accurate forecasting models."
46,hi,"डिजिटल मुद्राएं वैश्विक भुगतान प्रणालियों को बदल रही हैं।","Digital currencies are changing global payment systems."
47,ar,"تعتمد الأسواق المالية على نماذج التنبؤ الدقيقة.","Financial markets rely on accurate prediction models."
48,ar,"تُعيد العملات الرقمية تشكيل أنظمة الدفع العالمية.","Digital currencies are reshaping global payment systems."
49,fr,"Les marchés financiers dépendent de modèles prédictifs précis.","Financial markets depend on precise predictive models."
50,fr,"Les monnaies numériques transforment les systèmes de paiement.","Digital currencies are transforming payment systems."

51,en,"Cybersecurity threats are increasing as digital infrastructure expands.","Cybersecurity threats are increasing as digital infrastructure expands."
52,en,"AI models help detect malware and phishing attacks faster.","AI models help detect malware and phishing attacks faster."
53,ur,"ڈیجیٹل انفراسٹرکچر میں اضافے کے ساتھ سائبر سیکیورٹی خطرات بھی بڑھ رہے ہیں۔","Cybersecurity threats are rising as digital infrastructure grows."
54,ur,"AI ماڈلز میلویئر اور فشنگ حملوں کا تیزی سے پتہ لگاتے ہیں۔","AI models quickly detect malware and phishing attacks."
55,hi,"डिजिटल ढांचे के विस्तार के साथ साइबर खतरों में वृद्धि हो रही है।","Cyber threats are increasing as digital infrastructure expands."
56,hi,"एआई मॉडल मैलवेयर और फ़िशिंग हमलों की पहचान अधिक तेजी से करते हैं।","AI models detect malware and phishing attacks more quickly."
57,ar,"تزداد التهديدات السيبرانية مع توسع البنية الرقمية.","Cyber threats increase as digital infrastructure expands."
58,ar,"تساعد نماذج الذكاء الاصطناعي في اكتشاف الهجمات بسرعة.","AI models help detect attacks quickly."
59,fr,"Les menaces cybernétiques augmentent avec l'expansion numérique.","Cyber threats increase with digital expansion."
60,fr,"Les modèles d'IA détectent plus rapidement les attaques malveillantes.","AI models detect malicious attacks more quickly."

61,en,"AI-powered tools personalize education by adapting content to each student’s level.","AI-powered tools personalize education by adapting content to each student’s level."
62,en,"Online learning systems benefit from intelligent tutoring algorithms.","Online learning systems benefit from intelligent tutoring algorithms."
63,ur,"AI پر مبنی ٹولز تعلیم کو ذاتی نوعیت دینے میں مدد کرتے ہیں۔","AI-based tools help personalize education."
64,ur,"آن لائن لرننگ سسٹمز ذہین ٹیٹرنگ الگورتھم سے فائدہ اٹھاتے ہیں۔","Online learning systems benefit from intelligent tutoring algorithms."
65,hi,"एआई-संचालित उपकरण शिक्षा को व्यक्तिगत बनाते हैं।","AI-powered tools make education personalized."
66,hi,"ऑनलाइन सीखने की प्रणालियाँ बुद्धिमान ट्यूटोरिंग एल्गोरिदम से लाभान्वित होती हैं।","Online learning systems benefit from intelligent tutoring algorithms."
67,ar,"تخصص الأدوات المعتمدة على الذكاء الاصطناعي التعليم لكل طالب.","AI-based tools personalize education for each student."
68,ar,"تستفيد أنظمة التعلم عبر الإنترنت من الخوارزميات الذكية.","Online learning systems benefit from intelligent algorithms."
69,fr,"Les outils basés sur l'IA personnalisent l'éducation.","AI-based tools personalize education."
70,fr,"Les systèmes d'apprentissage en ligne bénéficient des algorithmes intelligents.","Online learning systems benefit from intelligent algorithms."

71,en,"Autonomous vehicles rely on AI for navigation, perception, and decision-making.","Autonomous vehicles rely on AI for navigation, perception, and decision-making."
72,en,"Electric vehicle adoption is accelerating due to improved battery technology.","Electric vehicle adoption is accelerating due to improved battery technology."
73,ur,"خودکار گاڑیاں نیویگیشن اور فیصلوں کے لئے AI پر انحصار کرتی ہیں۔","Autonomous cars rely on AI for navigation and decision-making."
74,ur,"بیٹری ٹیکنالوجی کی بہتری سے الیکٹرک گاڑیوں کا استعمال بڑھ رہا ہے۔","Improved battery technology is increasing the use of electric vehicles."
75,hi,"स्वचालित वाहन नेविगेशन और निर्णय लेने के लिए एआई पर निर्भर हैं।","Autonomous vehicles depend on AI for navigation and decision-making."
76,hi,"बेहतर बैटरी तकनीक के कारण इलेक्ट्रिक वाहनों का उपयोग बढ़ रहा है।","The use of electric vehicles is increasing due to better battery technology."
77,ar,"تعتمد المركبات الذاتية على الذكاء الاصطناعي للملاحة واتخاذ القرار.","Self-driving vehicles rely on AI for navigation and decision-making."
78,ar,"يزداد استخدام السيارات الكهربائية بسبب تطور البطاريات.","The use of electric cars is increasing because of advances in batteries."
79,fr,"Les véhicules autonomes utilisent l'IA pour la navigation.","Autonomous vehicles use AI for navigation."
80,fr,"L'adoption des véhicules électriques augmente grâce aux batteries avancées.","The adoption of electric vehicles is increasing thanks to advanced batteries."

81,en,"Space exploration benefits from AI-assisted navigation and autonomous robotics.","Space exploration benefits from AI-assisted navigation and autonomous robotics."
82,en,"Telescopes powered by ML help discover distant exoplanets.","Telescopes powered by machine learning help discover distant exoplanets."
83,ur,"خلائی تحقیق AI کی مدد سے نیویگیشن اور روبوٹکس سے فائدہ اٹھاتی ہے۔","Space research benefits from AI-assisted navigation and robotics."
84,ur,"مشین لرننگ پر مبنی ٹیلی سکوپس دور دراز سیاروں کی دریافت میں مدد دیتی ہیں۔","Machine-learning based telescopes help discover distant planets."
85,hi,"अंतरिक्ष अन्वेषण एआई संचालित रोबोटिक्स और नेविगेशन से लाभ उठाता है।","Space exploration benefits from AI-driven robotics and navigation."
86,hi,"एमएल आधारित दूरबीनें दूरस्थ ग्रहों की खोज में सहायक होती हैं।","ML-based telescopes help in discovering distant planets."
87,ar,"يستفيد استكشاف الفضاء من الروبوتات ذاتية التحكم.","Space exploration benefits from autonomous robots."
88,ar,"تساعد التلسكوبات المعتمدة على التعلم الآلي في اكتشاف الكواكب البعيدة.","Telescopes based on machine learning help discover distant planets."
89,fr,"L'exploration spatiale bénéficie de la robotique autonome.","Space exploration benefits from autonomous robotics."
90,fr,"Les télescopes basés sur le ML détectent des exoplanètes lointaines.","Telescopes based on ML detect distant exoplanets."

91,en,"Agricultural technology uses drones to monitor crop health and soil conditions.","Agricultural technology uses drones to monitor crop health and soil conditions."
92,en,"AI systems optimize irrigation schedules to reduce water waste.","AI systems optimize irrigation schedules to reduce water waste."
93,ur,"زرعی ٹیکنالوجی فصلوں کی صحت کی نگرانی کے لئے ڈرون استعمال کرتی ہے۔","Agricultural technology uses drones to monitor crop health."
